url,dominio,titulo,fecha,texto,longitud
http://eltiempo.com/economia/crisis-petroleo-1,eltiempo.com,Crisis en sector petrolero afecta economia,2024-01-15,El sector petrolero colombiano enfrenta una crisis debido a la caida en los precios internacionales del crudo. Los analistas predicen un impacto negativo en las finanzas publicas y el mercado bursatil. Las acciones de Ecopetrol cayeron significativamente.,250
http://portafolio.co/bolsa/mercado-volatil-2,portafolio.co,Mercado bursatil presenta alta volatilidad,2024-01-16,La Bolsa de Valores de Colombia registro una jornada de alta volatilidad con el indice COLCAP cayendo mas de 2 por ciento. Los inversionistas muestran preocupacion ante la incertidumbre economica global.,198
http://elespectador.com/politica/reforma-tributaria-3,elespectador.com,Gobierno anuncia nueva reforma tributaria,2024-01-17,El gobierno nacional presento una nueva reforma tributaria que busca incrementar el recaudo fiscal. Expertos advierten sobre posibles efectos en el crecimiento economico y el mercado de valores.,205
http://semana.com/economia/crecimiento-4,semana.com,Economia colombiana muestra signos de recuperacion,2024-01-18,Los ultimos datos economicos muestran una recuperacion gradual de la economia colombiana. El consumo interno y las exportaciones impulsan el crecimiento. El optimismo se refleja en la bolsa de valores con ganancias moderadas.,235
http://larepublica.co/empresas/sector-financiero-5,larepublica.co,Sector financiero reporta utilidades record,2024-01-19,Los principales bancos colombianos reportaron utilidades record en el ultimo trimestre. El sector financiero se consolida como uno de los mas rentables del pais. Las acciones bancarias lideran las ganancias en la bolsa.,218
http://eltiempo.com/tecnologia/inversion-tech-6,eltiempo.com,Inversion extranjera en sector tecnologico crece,2024-01-22,La inversion extranjera directa en el sector tecnologico colombiano crecio un 35 por ciento en el ultimo ano. Startups colombianas atraen capital de fondos internacionales. El optimismo tecnologico impulsa indices bursatiles.,240
http://portafolio.co/economia/inflacion-preocupa-7,portafolio.co,Inflacion supera expectativas y preocupa a mercados,2024-01-23,La inflacion anual supero las expectativas del mercado alcanzando el 8.5 por ciento. El Banco de la Republica enfrenta presiones para incrementar las tasas de interes. Los mercados reaccionan negativamente ante la noticia.,228
http://elespectador.com/internacional/mercados-globales-8,elespectador.com,Crisis en mercados globales afecta a Colombia,2024-01-24,La crisis en los mercados financieros globales se extiende a las economias emergentes. El indice COLCAP cayo mas de 3 por ciento en una sola sesion. Los inversionistas buscan refugio en activos mas seguros.,210
http://semana.com/empresas/fusiones-9,semana.com,Anuncian fusion entre dos grandes empresas colombianas,2024-01-25,Dos de las empresas mas importantes de Colombia anunciaron planes de fusion. La operacion valuada en mas de mil millones de dolares podria cambiar el panorama empresarial. Las acciones de ambas companias subieron significativamente.,252
http://larepublica.co/mineria/oro-exportaciones-10,larepublica.co,Exportaciones de oro alcanzan maximos historicos,2024-01-26,Las exportaciones de oro colombiano alcanzaron niveles record debido al incremento en los precios internacionales. El sector minero se consolida como un motor importante de la economia. Las acciones mineras lideran ganancias bursatiles.,245
